"id","created_at","updated_at","deleted_at","deletedTracker","published_at","locale_name","default_entity_locale_id","organization_name","created_by_id","updated_by_id","bid_plus_gem_portal_ministry_master_id_id"
2038,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,THE DIRECTORATE GENERAL OF AERONAUTICAL QUALITY ASSURANCE,,,319
2169,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,ANDREW YULE AND COMPANY LIMITED,,,2119
2012,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,OFFICE OF DG R & D (R & M),,,319
2214,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,BHARAT HEAVY ELECTRICALS LIMITED (BHEL),,,2119
2018,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,OFFICE OF DG R & D (SAM),,,319
1681,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,OFFICE OF DG ( MED & COS),,,319
2022,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,OFFICE OF JS AND CHIEF ADMINISTRATIVE OFFICER,,,319
1805,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,OFFICE OF DG (AERO),,,319
2042,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,TROOP COMFORTS LIMITED,,,319
1912,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,OFFICE OF DG (LS),,,319
2311,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,ENGINEERING PROJECTS (INDIA) LTD.,,,2119
2069,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,YANTRA INDIA LIMITED,,,319
2313,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,HEAVY ENGINEERING CORPORATION LIMITED (HEC),,,2119
2323,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,HMT LIMITED,,,2119
2406,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,RICHARDSON AND CRUDDAS 1972 LIMITED,,,2119
2324,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,HMT MACHINE TOOLS LIMITED,,,2119
2407,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,SAMBHAR SALTS LIMITED,,,2119
2408,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,THE AUTOMOTIVE RESEARCH ASSOCIATION OF INDIA,,,2119
2381,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NEPA MILLS LIMITED NEPANAGAR BURHANPUR,,,2119
2422,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,GEOLOGICAL SURVEY OF INDIA (GSI),,,2422
2472,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,HINDUSTAN COPPER LIMITED,,,2422
2522,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,INDIAN BUREAU OF MINES,,,2422
2537,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,JAWAHARLAL NEHRU ALUMINIUM RESEARCH DEVELOPMENT AND DESIGN CENTRE (JNARDDC),,,2422
2544,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,MINERAL EXPLORATION AND CONSULTANCY LIMITED,,,2422
2560,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NATIONAL ALUMINIUM COMPANY LIMITED,,,2422
2579,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,"NATIONAL ALUMINIUM COMPANY LIMITED, BHUBANESWAR",,,2422
2629,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NATIONAL INSTITUTE OF ROCK MECHANICS (NIRM),,,2422
2630,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY,,,2630
